Sample,KMeans_Cluster,DBSCAN_Cluster,GMM_Cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,LD1,LD2,Ancestry_Q1,Ancestry_Q2,Ancestry_Q3
1,3,1,3,16.051221,64.245231,-185.745075,-23.940775,36.299057,18.071079,3.860341,-0.844977,2.422791,-0.773989,92.911597,-8.782536,0.000000,0.000000,1.000000
10,1,2,1,-23.238512,-17.333505,-6.880220,22.546735,-9.956025,3.463563,14.794435,1.380044,-0.639764,22.948087,-20.888157,-17.985433,0.923741,0.076244,0.000015
100,2,Noise,2,143.449986,-9.569508,-3.666234,26.027207,-67.218829,81.699208,6.738370,-29.789302,16.096374,-77.954766,19.548371,146.108617,0.000000,1.000000,0.000000
101,2,Noise,2,84.066917,4.488863,-5.774025,37.949990,-75.485402,76.922190,7.544359,-44.987377,9.740453,-32.353917,14.350393,85.749326,0.000019,0.999928,0.000054
102,1,2,2,-24.406934,14.218443,9.605902,-40.851629,-26.168345,34.636887,-13.612883,-4.620308,0.872165,-13.510127,-4.187993,-25.003532,0.179734,0.817906,0.002361
103,3,Noise,3,33.008886,108.540434,40.623030,37.424430,54.371245,17.555975,38.487418,-5.940193,-66.409589,7.461963,114.942992,-4.299865,0.000000,0.000000,1.000000
104,2,Noise,2,30.811273,23.185569,7.458061,-14.194238,-15.090243,4.396929,-8.842444,-1.743346,-4.984460,-29.512935,26.060157,24.563467,0.001151,0.964505,0.034344
105,3,Noise,3,10.733174,71.851651,17.759212,14.861560,17.795508,-3.614281,11.903502,3.074655,-28.929572,-3.859025,71.674121,-12.049671,0.000000,0.000045,0.999955
106,3,Noise,3,23.220830,61.510212,11.250289,-37.570375,-31.350002,-27.738142,0.322465,10.980214,-13.805166,-4.372981,60.718127,6.213160,0.000000,0.002819,0.997181
107,2,Noise,2,48.363408,-19.364176,4.527033,-42.861633,7.711047,-17.299579,4.313174,-10.061471,4.702868,-14.403780,-2.238133,53.513542,0.017752,0.982149,0.000099
108,1,Noise,2,-12.184219,23.652611,8.604418,-27.739310,-10.979159,-8.515395,6.303938,4.182558,-11.496988,-16.902107,17.865933,-17.407968,0.016700,0.957776,0.025524
109,1,2,1,-44.804143,-0.516182,5.124791,-25.386396,-0.415282,-0.408043,-8.458597,4.841775,-1.596278,6.289697,-15.753183,-42.690968,0.898403,0.101592,0.000005
11,1,2,1,-12.082645,-5.377016,1.417492,12.545832,3.052526,6.252299,-14.220474,-7.618969,-7.542141,-11.947425,-10.629728,-9.729890,0.970536,0.029451,0.000013
110,3,Noise,3,71.540831,62.951056,17.663238,-53.851155,-42.564737,-45.197753,85.941357,-1.012725,-31.707977,-37.305197,89.209785,54.148116,0.000000,0.013129,0.986871
111,3,Noise,3,23.766659,47.469722,13.839443,-49.142541,-27.465025,-34.376572,54.933815,3.619647,-21.437609,-31.287030,57.663214,11.792500,0.000000,0.073160,0.926840
112,2,Noise,2,58.399217,-0.754866,-3.071884,5.720458,-24.281230,0.498956,-13.672796,-43.743207,-21.859558,22.207781,10.018875,59.193523,0.013072,0.986609,0.000319
113,1,2,1,-22.145749,-12.393216,0.173474,-3.794192,14.627080,-19.446613,-1.840769,3.685016,6.321282,-12.751702,-14.121155,-17.667494,0.973640,0.026356,0.000004
114,1,2,1,-21.615183,-2.876005,10.300577,-37.745377,3.124287,-0.174612,-9.529828,0.681180,3.251147,-1.677791,-12.050033,-19.087916,0.644831,0.355016,0.000153
115,2,Noise,2,31.385140,-10.858403,9.517589,-33.346571,7.143003,-5.977199,-8.155635,-14.798239,-1.445108,-0.486506,-3.323075,34.560892,0.069221,0.930296,0.000483
116,1,2,1,-13.059330,-9.544204,4.218336,-8.406352,14.265348,-15.302257,-3.608064,-3.501904,-1.592208,-16.456153,-10.312537,-9.338005,0.949572,0.050414,0.000014
117,1,Noise,2,-1.999134,36.104296,7.449712,4.158723,-4.506410,-26.791192,20.260777,2.390422,-13.232917,-27.501937,37.997237,-11.314708,0.000063,0.705317,0.294620
118,1,Noise,2,7.743898,5.668365,16.897337,-69.650964,-1.793850,-2.779639,3.810188,4.475526,15.622438,18.446601,3.808722,6.978296,0.002460,0.987530,0.010010
119,1,2,1,-23.655522,-4.978844,2.978356,0.413989,12.189785,-6.207767,-19.069533,-0.254557,-4.135230,-8.588543,-12.445633,-21.490373,0.967829,0.032163,0.000007
12,1,2,1,-23.653717,-6.648579,-0.218356,3.160317,4.647214,-1.854319,-9.423552,2.125777,-0.401577,-2.980558,-13.371763,-21.017103,0.978801,0.021194,0.000004
120,1,2,1,-35.769416,-5.215878,6.264742,-22.659850,6.284264,-1.380918,-9.836956,5.521418,-1.115095,-5.009757,-16.683545,-32.840762,0.912509,0.087483,0.000007
121,1,2,1,-13.400437,8.634175,4.611186,-10.155632,-9.949900,15.794239,-25.186014,-16.022373,-1.622103,-14.178985,-3.274326,-13.052173,0.818195,0.181433,0.000372
122,1,2,1,-24.029361,1.824396,5.377845,4.267503,15.287837,2.029426,-9.133336,3.303274,-0.175749,-5.318075,-5.498192,-24.299415,0.914904,0.085057,0.000038
123,2,2,1,21.208438,-14.350883,2.856057,9.377740,18.081963,-5.324927,-7.800752,-3.409181,1.902081,-9.421451,-5.961735,23.978502,0.666570,0.333300,0.000130
124,1,2,1,-5.635254,-6.791431,5.245502,-6.047494,15.940633,-2.955644,-14.105971,-2.791230,1.366607,-12.170911,-8.588693,-3.400577,0.919287,0.080671,0.000041
125,2,2,2,19.660488,-16.843633,5.935669,3.537816,28.418132,-11.062261,-1.575223,4.475871,7.480802,-41.164538,-5.523732,23.298301,0.441062,0.558745,0.000193
126,2,2,1,20.105838,-18.403346,3.077285,-2.282576,23.703756,-15.480764,3.018961,-0.768410,1.039862,-28.253480,-6.331069,24.338097,0.574244,0.425627,0.000128
127,1,2,1,11.182469,-2.826764,-2.587971,16.423307,6.562900,-15.334896,-17.901703,-21.643774,-11.017341,-4.076008,0.398802,12.626380,0.907016,0.092847,0.000137
128,1,2,1,4.551203,-1.169062,4.316601,-13.494611,-2.534797,-13.002353,-7.765845,-2.774631,1.772313,-8.239859,-0.731094,5.827713,0.876286,0.123566,0.000148
129,1,2,1,-5.964381,-1.037036,2.884292,1.517156,5.168583,2.441284,-16.255665,-3.403369,1.579664,-10.014667,-5.054177,-5.025178,0.945712,0.054239,0.000048
13,1,2,1,-39.377196,-6.089964,-0.107349,0.574999,-14.242819,13.836479,8.862497,14.461787,3.158989,3.200801,-18.099340,-36.503203,0.972590,0.027408,0.000002
130,1,2,1,-4.653708,2.585592,0.701670,1.918417,-3.758276,-4.053991,-16.929282,-18.236910,0.859976,5.112910,-2.238655,-3.433913,0.942885,0.057029,0.000086
131,2,2,2,39.280328,0.315666,2.339502,1.614143,-3.302114,-4.466549,-13.373040,-30.485533,-0.261722,6.470198,8.202338,40.035953,0.192729,0.806552,0.000719
132,3,1,3,22.386758,67.831057,-196.529934,-29.497663,38.711980,20.424364,4.212676,0.674305,1.974237,1.106096,99.534989,-4.299008,0.000000,0.000000,1.000000
133,1,2,1,6.549075,-19.524429,4.684852,9.671831,22.752201,-3.507649,3.458675,0.465308,5.927866,-18.340108,-12.718035,11.300265,0.716000,0.283922,0.000077
134,1,2,2,-14.890252,-11.251589,12.824117,-20.909483,15.774186,3.432300,7.600090,8.858140,1.587499,-15.559916,-13.572852,-11.611257,0.257959,0.741737,0.000304
