
╔══════════════════════════════════════════════════════════════════════════════════╗
║             [BioJava] Per-Individual Ploidy Estimation Report                   ║
╚══════════════════════════════════════════════════════════════════════════════════╝
Sample                              Ploidy_Estimated   Confidence   SNPs_Used    Status
─────────────────────────────────────────────────────────────────────────────────────
1                                   5                  0.606        318          ✓ OK
10                                  8                  0.787        18480        ✓ OK
100                                 8                  0.775        9346         ✓ OK
101                                 8                  0.791        13124        ✓ OK
102                                 8                  0.781        18373        ✓ OK
103                                 8                  0.787        15340        ✓ OK
104                                 8                  0.797        14602        ✓ OK
105                                 8                  0.798        16753        ✓ OK
106                                 8                  0.785        15971        ✓ OK
107                                 8                  0.785        14172        ✓ OK
108                                 8                  0.783        17975        ✓ OK
109                                 8                  0.775        20807        ✓ OK
11                                  8                  0.790        18686        ✓ OK
110                                 8                  0.782        12628        ✓ OK
111                                 8                  0.786        15956        ✓ OK
112                                 8                  0.779        14544        ✓ OK
113                                 8                  0.787        19426        ✓ OK
114                                 8                  0.780        18496        ✓ OK
115                                 8                  0.782        15913        ✓ OK
116                                 8                  0.797        18530        ✓ OK
117                                 8                  0.794        17757        ✓ OK
118                                 7                  0.707        16617        ✓ OK
119                                 8                  0.783        19529        ✓ OK
12                                  7                  0.691        19227        ✓ OK
120                                 8                  0.787        19447        ✓ OK
121                                 8                  0.793        19077        ✓ OK
122                                 8                  0.789        18145        ✓ OK
123                                 8                  0.773        15980        ✓ OK
124                                 8                  0.781        17833        ✓ OK
125                                 8                  0.797        15775        ✓ OK
126                                 8                  0.790        16183        ✓ OK
127                                 8                  0.793        17986        ✓ OK
128                                 8                  0.779        18078        ✓ OK
129                                 8                  0.793        19302        ✓ OK
13                                  8                  0.791        20381        ✓ OK
130                                 8                  0.771        18881        ✓ OK
131                                 8                  0.771        15850        ✓ OK
132                                 7                  0.729        335          ✓ OK
133                                 8                  0.785        16343        ✓ OK
134                                 8                  0.760        17312        ✓ OK
135                                 8                  0.784        14337        ✓ OK
136                                 8                  0.789        15495        ✓ OK
137                                 8                  0.781        18533        ✓ OK
138                                 8                  0.770        14848        ✓ OK
139                                 8                  0.791        15561        ✓ OK
14                                  8                  0.778        19523        ✓ OK
140                                 8                  0.789        13619        ✓ OK
141                                 8                  0.769        14939        ✓ OK
142                                 8                  0.781        12239        ✓ OK
143                                 8                  0.791        19157        ✓ OK
144                                 8                  0.783        17069        ✓ OK
145                                 8                  0.772        15736        ✓ OK
146                                 8                  0.798        17808        ✓ OK
147                                 7                  0.709        12522        ✓ OK
148                                 8                  0.791        18859        ✓ OK
149                                 8                  0.799        17990        ✓ OK
15                                  8                  0.783        20064        ✓ OK
150                                 8                  0.771        14595        ✓ OK
151                                 8                  0.786        8376         ✓ OK
152                                 8                  0.783        8993         ✓ OK
153                                 8                  0.782        18270        ✓ OK
154                                 8                  0.779        19910        ✓ OK
155                                 7                  0.685        20659        ✓ OK
156                                 8                  0.781        16330        ✓ OK
157                                 8                  0.778        21001        ✓ OK
158                                 8                  0.778        19916        ✓ OK
159                                 8                  0.783        18727        ✓ OK
16                                  8                  0.791        19322        ✓ OK
160                                 8                  0.790        15437        ✓ OK
161                                 8                  0.798        16356        ✓ OK
162                                 8                  0.787        16779        ✓ OK
163                                 8                  0.780        18232        ✓ OK
164                                 8                  0.795        18465        ✓ OK
165                                 8                  0.779        19360        ✓ OK
166                                 8                  0.788        16439        ✓ OK
167                                 8                  0.784        17789        ✓ OK
168                                 8                  0.780        17826        ✓ OK
169                                 8                  0.783        18578        ✓ OK
17                                  8                  0.776        18627        ✓ OK
170                                 8                  0.780        17220        ✓ OK
171                                 8                  0.793        18582        ✓ OK
172                                 8                  0.779        20619        ✓ OK
173                                 8                  0.778        18778        ✓ OK
174                                 8                  0.772        18170        ✓ OK
175                                 8                  0.775        13566        ✓ OK
176                                 8                  0.779        18970        ✓ OK
177                                 7                  0.703        20473        ✓ OK
178                                 7                  0.718        16467        ✓ OK
179                                 8                  0.786        18999        ✓ OK
18                                  8                  0.791        17357        ✓ OK
180                                 8                  0.791        18071        ✓ OK
181                                 8                  0.776        16538        ✓ OK
182                                 8                  0.784        20534        ✓ OK
183                                 8                  0.798        18401        ✓ OK
184                                 8                  0.782        19333        ✓ OK
185                                 8                  0.796        16338        ✓ OK
186                                 8                  0.797        17626        ✓ OK
187                                 8                  0.772        16698        ✓ OK
188                                 8                  0.769        17364        ✓ OK
189                                 8                  0.769        17538        ✓ OK
19                                  8                  0.793        20126        ✓ OK
190                                 8                  0.792        14488        ✓ OK
191                                 8                  0.787        19104        ✓ OK
192                                 8                  0.780        17459        ✓ OK
193                                 7                  0.689        18255        ✓ OK
194                                 8                  0.777        19316        ✓ OK
195                                 8                  0.787        16832        ✓ OK
196                                 8                  0.790        18403        ✓ OK
197                                 8                  0.774        19051        ✓ OK
198                                 8                  0.798        19402        ✓ OK
199                                 8                  0.788        15513        ✓ OK
2                                   8                  0.795        11260        ✓ OK
20                                  8                  0.789        18580        ✓ OK
200                                 8                  0.779        17597        ✓ OK
201                                 8                  0.789        20278        ✓ OK
202                                 8                  0.780        19921        ✓ OK
203                                 8                  0.788        20916        ✓ OK
204                                 8                  0.786        16254        ✓ OK
205                                 8                  0.792        16308        ✓ OK
206                                 8                  0.785        16682        ✓ OK
207                                 8                  0.794        18259        ✓ OK
208                                 8                  0.765        12839        ✓ OK
209                                 8                  0.788        13271        ✓ OK
21                                  8                  0.787        20568        ✓ OK
210                                 8                  0.787        17440        ✓ OK
211                                 8                  0.784        18818        ✓ OK
212                                 7                  0.694        7058         ✓ OK
214                                 8                  0.795        8353         ✓ OK
215                                 8                  0.793        18252        ✓ OK
216                                 8                  0.780        19819        ✓ OK
217                                 8                  0.785        13765        ✓ OK
218                                 8                  0.797        13219        ✓ OK
219                                 8                  0.791        10689        ✓ OK
22                                  8                  0.783        20312        ✓ OK
220                                 8                  0.786        17420        ✓ OK
221                                 8                  0.769        12032        ✓ OK
23                                  8                  0.787        19488        ✓ OK
24                                  8                  0.784        19896        ✓ OK
25                                  8                  0.798        18994        ✓ OK
26                                  8                  0.789        20796        ✓ OK
27                                  8                  0.786        18491        ✓ OK
28                                  8                  0.782        20529        ✓ OK
29                                  8                  0.787        19760        ✓ OK
3                                   8                  0.781        330          ✓ OK
30                                  7                  0.703        19885        ✓ OK
31                                  8                  0.779        18838        ✓ OK
32                                  8                  0.777        18222        ✓ OK
33                                  8                  0.798        19846        ✓ OK
34                                  8                  0.795        18704        ✓ OK
35                                  8                  0.788        19464        ✓ OK
36                                  8                  0.780        19023        ✓ OK
37                                  8                  0.785        19267        ✓ OK
38                                  7                  0.697        17759        ✓ OK
39                                  8                  0.787        17111        ✓ OK
4                                   8                  0.788        19962        ✓ OK
40                                  8                  0.780        17783        ✓ OK
41                                  8                  0.791        14904        ✓ OK
42                                  8                  0.785        17155        ✓ OK
43                                  8                  0.794        18291        ✓ OK
44                                  8                  0.793        15279        ✓ OK
45                                  8                  0.787        16498        ✓ OK
46                                  8                  0.787        15230        ✓ OK
47                                  8                  0.777        17825        ✓ OK
48                                  8                  0.780        16478        ✓ OK
49                                  8                  0.777        13879        ✓ OK
5                                   8                  0.792        19244        ✓ OK
50                                  7                  0.698        17458        ✓ OK
51                                  8                  0.776        18220        ✓ OK
52                                  8                  0.782        18842        ✓ OK
53                                  8                  0.791        18947        ✓ OK
54                                  8                  0.791        18264        ✓ OK
55                                  8                  0.796        19589        ✓ OK
56                                  8                  0.797        20474        ✓ OK
57                                  8                  0.782        17536        ✓ OK
58                                  8                  0.779        14229        ✓ OK
59                                  7                  0.706        18613        ✓ OK
6                                   8                  0.784        19327        ✓ OK
60                                  8                  0.771        19048        ✓ OK
61                                  8                  0.774        18861        ✓ OK
62                                  8                  0.792        19525        ✓ OK
63                                  8                  0.783        19667        ✓ OK
64                                  8                  0.793        20713        ✓ OK
65                                  8                  0.784        19689        ✓ OK
66                                  8                  0.792        19053        ✓ OK
67                                  8                  0.787        15582        ✓ OK
68                                  8                  0.786        21259        ✓ OK
69                                  8                  0.768        20647        ✓ OK
7                                   8                  0.788        16615        ✓ OK
70                                  8                  0.787        21025        ✓ OK
71                                  8                  0.784        18309        ✓ OK
72                                  8                  0.778        18507        ✓ OK
73                                  8                  0.784        18218        ✓ OK
74                                  8                  0.780        19073        ✓ OK
75                                  8                  0.781        18736        ✓ OK
76                                  7                  0.691        17760        ✓ OK
77                                  8                  0.786        18720        ✓ OK
78                                  8                  0.776        20009        ✓ OK
79                                  8                  0.794        19217        ✓ OK
8                                   8                  0.792        18432        ✓ OK
80                                  8                  0.784        16564        ✓ OK
81                                  8                  0.783        17985        ✓ OK
82                                  8                  0.785        17620        ✓ OK
83                                  8                  0.772        18128        ✓ OK
84                                  8                  0.764        18327        ✓ OK
85                                  8                  0.778        19155        ✓ OK
86                                  8                  0.792        18306        ✓ OK
87                                  8                  0.784        20191        ✓ OK
88                                  8                  0.787        16790        ✓ OK
89                                  8                  0.789        15190        ✓ OK
9                                   8                  0.786        17063        ✓ OK
90                                  8                  0.790        18984        ✓ OK
91                                  8                  0.782        20889        ✓ OK
92                                  8                  0.789        20357        ✓ OK
93                                  8                  0.782        18879        ✓ OK
94                                  7                  0.706        19722        ✓ OK
95                                  8                  0.780        19256        ✓ OK
96                                  8                  0.787        16458        ✓ OK
97                                  8                  0.777        18717        ✓ OK
98                                  8                  0.784        18133        ✓ OK
99                                  8                  0.779        18149        ✓ OK
─────────────────────────────────────────────────────────────────────────────────────
Total samples: 220  |  Ambiguous: 0

